Age,Attrition,Department,EducationField,Gender,JobRole,MaritalStatus,NumCompaniesWorked,YearsAtCompany
26,No,Research & Development,Life Sciences,Female,Research Scientist,Divorced,1,3
30,No,Research & Development,Life Sciences,Male,Laboratory Technician,Married,4,5
29,No,Research & Development,Medical,Male,Research Director,Married,1,10
29,Yes,Research & Development,Technical Degree,Female,Research Scientist,Married,5,2
19,Yes,Human Resources,Technical Degree,Male,Human Resources,Single,1,1
30,No,Sales,Other,Female,Sales Executive,Married,0,9
57,No,Sales,Marketing,Male,Manager,Divorced,3,1
50,No,Research & Development,Life Sciences,Male,Manager,Married,0,27
30,No,Research & Development,Medical,Female,Laboratory Technician,Single,0,11
60,No,Sales,Marketing,Female,Sales Executive,Married,4,18
47,No,Research & Development,Medical,Female,Manufacturing Director,Divorced,5,5
46,No,Research & Development,Life Sciences,Male,Research Director,Married,6,3
35,No,Research & Development,Life Sciences,Male,Laboratory Technician,Single,0,5
54,No,Research & Development,Life Sciences,Female,Laboratory Technician,Single,7,1
34,No,Research & Development,Life Sciences,Male,Research Scientist,Divorced,3,7
46,No,Sales,Marketing,Female,Sales Executive,Married,2,3
31,No,Research & Development,Life Sciences,Male,Manufacturing Director,Divorced,1,13
33,Yes,Research & Development,Medical,Male,Manager,Married,7,7
33,Yes,Research & Development,Medical,Male,Laboratory Technician,Divorced,7,4
30,No,Sales,Marketing,Male,Sales Representative,Single,0,3
35,No,Research & Development,Life Sciences,Male,Healthcare Representative,Married,4,8
31,Yes,Research & Development,Life Sciences,Male,Healthcare Representative,Married,3,1
34,Yes,Human Resources,Human Resources,Female,Human Resources,Divorced,9,3
42,No,Research & Development,Other,Male,Laboratory Technician,Married,4,2
36,No,Sales,Medical,Male,Sales Executive,Single,1,10
22,Yes,Research & Development,Technical Degree,Male,Laboratory Technician,Single,5,2
48,No,Sales,Marketing,Female,Sales Executive,Married,2,9
55,No,Sales,Life Sciences,Female,Manager,Single,3,10
41,No,Sales,Life Sciences,Male,Sales Executive,Single,7,14
35,No,Sales,Marketing,Male,Sales Executive,Married,9,11
40,No,Research & Development,Life Sciences,Female,Manufacturing Director,Single,7,20
39,No,Research & Development,Life Sciences,Female,Laboratory Technician,Married,1,8
31,No,Sales,Life Sciences,Male,Sales Executive,Single,4,6
42,No,Research & Development,Medical,Male,Manufacturing Director,Married,1,10
45,No,Sales,Other,Male,Sales Executive,Married,0,8
26,Yes,Human Resources,Life Sciences,Female,Human Resources,Divorced,0,7
29,No,Research & Development,Technical Degree,Male,Manufacturing Director,Divorced,4,3
33,No,Research & Development,Medical,Female,Research Director,Divorced,4,6
31,No,Sales,Life Sciences,Male,Manager,Divorced,9,5
18,Yes,Sales,Marketing,Male,Sales Representative,Single,1,0
40,No,Sales,Other,Male,Sales Executive,Divorced,3,1
41,No,Research & Development,Other,Female,Healthcare Representative,Single,2,8
26,No,Sales,Medical,Male,Sales Executive,Divorced,5,0
35,No,Sales,Medical,Female,Sales Executive,Single,1,5
34,No,Sales,Life Sciences,Male,Sales Executive,Single,1,10
26,Yes,Research & Development,Technical Degree,Male,Laboratory Technician,Single,1,1
37,No,Research & Development,Technical Degree,Female,Manufacturing Director,Single,4,6
46,No,Research & Development,Medical,Female,Healthcare Representative,Married,5,2
41,No,Sales,Life Sciences,Female,Manager,Married,7,18
37,No,Sales,Medical,Male,Sales Executive,Divorced,1,9
52,No,Research & Development,Technical Degree,Male,Research Scientist,Divorced,3,10
32,Yes,Sales,Other,Male,Sales Executive,Married,8,4
24,No,Sales,Medical,Male,Sales Representative,Married,0,2
38,No,Research & Development,Medical,Female,Healthcare Representative,Married,3,1
37,No,Research & Development,Life Sciences,Female,Manufacturing Director,Married,6,6
49,No,Research & Development,Life Sciences,Male,Research Director,Divorced,1,31
24,No,Research & Development,Medical,Male,Research Scientist,Married,1,6
26,No,Sales,Marketing,Male,Sales Executive,Married,1,5
24,No,Research & Development,Other,Male,Laboratory Technician,Married,1,1
50,No,Human Resources,Medical,Male,Manager,Married,1,32
25,No,Sales,Medical,Male,Sales Representative,Married,1,7
24,Yes,Research & Development,Life Sciences,Female,Laboratory Technician,Married,1,6
30,Yes,Sales,Life Sciences,Male,Sales Representative,Married,1,1
34,No,Research & Development,Life Sciences,Male,Research Scientist,Married,1,6
31,Yes,Sales,Medical,Male,Sales Executive,Divorced,2,3
35,No,Research & Development,Other,Male,Laboratory Technician,Single,4,3
31,No,Sales,Medical,Male,Sales Executive,Divorced,4,7
27,No,Research & Development,Medical,Female,Research Scientist,Divorced,0,5
37,No,Sales,Marketing,Male,Sales Executive,Married,4,3
20,No,Research & Development,Life Sciences,Female,Research Scientist,Single,1,1
42,No,Research & Development,Life Sciences,Female,Healthcare Representative,Married,1,10
43,No,Research & Development,Other,Male,Research Director,Divorced,4,1
38,No,Research & Development,Life Sciences,Female,Research Scientist,Single,3,0
43,No,Research & Development,Medical,Male,Laboratory Technician,Divorced,3,8
48,No,Research & Development,Life Sciences,Female,Manager,Married,7,3
44,No,Human Resources,Life Sciences,Female,Human Resources,Single,4,2
34,No,Sales,Technical Degree,Female,Sales Representative,Divorced,1,8
27,Yes,Sales,Marketing,Male,Sales Representative,Divorced,0,4
21,No,Sales,Technical Degree,Male,Sales Representative,Single,1,3
44,No,Research & Development,Other,Male,Manager,Married,4,2
22,No,Research & Development,Medical,Male,Research Scientist,Married,0,2
33,No,Sales,Marketing,Male,Sales Executive,Divorced,0,5
32,No,Research & Development,Life Sciences,Female,Research Scientist,Married,1,6
30,No,Research & Development,Medical,Female,Research Scientist,Divorced,1,1
53,No,Sales,Medical,Female,Sales Executive,Single,7,14
34,No,Research & Development,Life Sciences,Male,Research Scientist,Married,1,10
45,Yes,Sales,Life Sciences,Female,Sales Executive,Married,2,1
26,No,Research & Development,Life Sciences,Female,Laboratory Technician,Married,1,3
37,No,Research & Development,Other,Male,Manufacturing Director,Married,1,10
29,No,Sales,Medical,Female,Sales Executive,Married,1,6
35,No,Research & Development,Life Sciences,Male,Research Scientist,Single,1,17
33,No,Research & Development,Life Sciences,Male,Healthcare Representative,Divorced,3,13
54,No,Human Resources,Medical,Male,Human Resources,Married,2,9
36,No,Research & Development,Medical,Male,Manufacturing Director,Divorced,2,3
27,No,Research & Development,Medical,Male,Research Scientist,Single,0,4
20,Yes,Research & Development,Medical,Male,Research Scientist,Single,1,1
33,Yes,Research & Development,Life Sciences,Male,Research Scientist,Single,1,10
35,No,Research & Development,Life Sciences,Male,Laboratory Technician,Married,1,1
23,No,Research & Development,Medical,Male,Research Scientist,Married,2,3
25,No,Sales,Life Sciences,Male,Sales Executive,Married,0,3
38,No,Sales,Marketing,Female,Sales Executive,Single,0,7
29,No,Research & Development,Life Sciences,Male,Research Scientist,Divorced,1,10
48,No,Sales,Marketing,Male,Sales Executive,Married,3,2
27,No,Sales,Medical,Female,Sales Executive,Divorced,1,6
37,No,Research & Development,Life Sciences,Male,Research Scientist,Single,3,1
50,No,Research & Development,Medical,Male,Laboratory Technician,Married,1,20
34,No,Research & Development,Medical,Female,Healthcare Representative,Single,1,8
24,Yes,Sales,Life Sciences,Female,Sales Executive,Single,9,2
39,No,Research & Development,Technical Degree,Female,Healthcare Representative,Single,1,20
32,No,Sales,Marketing,Male,Sales Executive,Single,1,10
50,Yes,Sales,Technical Degree,Male,Sales Executive,Married,3,4
38,No,Research & Development,Life Sciences,Female,Healthcare Representative,Single,0,9
27,No,Research & Development,Life Sciences,Female,Manufacturing Director,Married,1,9
32,No,Research & Development,Life Sciences,Female,Research Director,Single,3,7
47,No,Sales,Marketing,Male,Sales Executive,Single,2,7
40,No,Sales,Life Sciences,Male,Sales Executive,Married,5,18
53,No,Research & Development,Life Sciences,Male,Research Director,Married,3,5
41,No,Human Resources,Human Resources,Male,Manager,Divorced,3,21
60,No,Sales,Marketing,Male,Sales Executive,Single,8,2
27,No,Research & Development,Life Sciences,Male,Manufacturing Director,Divorced,1,9
41,No,Human Resources,Human Resources,Male,Manager,Married,1,22
50,No,Sales,Marketing,Male,Sales Representative,Married,7,2
28,Yes,Research & Development,Life Sciences,Female,Research Scientist,Single,7,7
36,No,Research & Development,Life Sciences,Female,Research Director,Married,9,8
38,No,Research & Development,Life Sciences,Female,Manufacturing Director,Single,4,1
44,No,Research & Development,Medical,Male,Laboratory Technician,Single,2,5
47,No,Sales,Medical,Female,Sales Executive,Divorced,9,22
30,No,Sales,Marketing,Male,Sales Executive,Divorced,7,8
29,No,Sales,Life Sciences,Male,Sales Representative,Single,1,1
42,Yes,Research & Development,Medical,Male,Research Scientist,Divorced,6,2
43,No,Sales,Life Sciences,Male,Sales Executive,Married,3,2
34,No,Research & Development,Medical,Female,Healthcare Representative,Single,3,5
23,No,Research & Development,Medical,Male,Laboratory Technician,Married,1,4
39,No,Human Resources,Human Resources,Female,Human Resources,Married,9,8
56,No,Research & Development,Medical,Male,Healthcare Representative,Married,7,10
40,No,Research & Development,Medical,Female,Research Scientist,Single,0,4
27,No,Research & Development,Medical,Female,Healthcare Representative,Single,8,7
29,No,Sales,Marketing,Male,Sales Representative,Divorced,1,2
53,No,Research & Development,Life Sciences,Male,Laboratory Technician,Single,2,2
35,No,Research & Development,Life Sciences,Female,Healthcare Representative,Divorced,2,1
32,No,Research & Development,Life Sciences,Male,Laboratory Technician,Married,1,10
38,No,Research & Development,Medical,Male,Research Scientist,Married,6,1
34,No,Research & Development,Life Sciences,Female,Manufacturing Director,Divorced,3,0
52,No,Sales,Marketing,Male,Manager,Married,1,34
33,Yes,Research & Development,Other,Male,Research Scientist,Single,1,10
25,No,Sales,Medical,Female,Sales Executive,Single,1,6
45,No,Sales,Technical Degree,Male,Sales Representative,Single,0,8
23,No,Research & Development,Medical,Male,Research Scientist,Single,1,2
47,Yes,Sales,Life Sciences,Female,Sales Executive,Single,4,5
34,No,Sales,Other,Male,Sales Executive,Single,1,6
55,Yes,Research & Development,Medical,Male,Manager,Married,5,5
36,No,Sales,Life Sciences,Male,Sales Executive,Single,1,10
52,No,Research & Development,Medical,Male,Research Scientist,Married,0,4
26,No,Research & Development,Life Sciences,Female,Laboratory Technician,Divorced,3,2
29,No,Research & Development,Medical,Female,Healthcare Representative,Married,4,8
26,Yes,Sales,Technical Degree,Male,Sales Executive,Single,6,4
34,No,Research & Development,Life Sciences,Female,Research Scientist,Single,2,4
54,No,Research & Development,Medical,Female,Manufacturing Director,Divorced,9,5
27,No,Sales,Marketing,Male,Sales Executive,Married,0,4
37,No,Research & Development,Life Sciences,Female,Research Scientist,Divorced,0,5
38,No,Research & Development,Life Sciences,Female,Manufacturing Director,Single,6,15
34,No,Research & Development,Medical,Female,Research Scientist,Single,1,6
35,No,Sales,Life Sciences,Female,Sales Representative,Married,1,3
30,No,Research & Development,Life Sciences,Male,Laboratory Technician,Married,3,2
40,No,Research & Development,Medical,Female,Healthcare Representative,Married,1,8
34,No,Sales,Life Sciences,Female,Sales Executive,Married,5,3
42,No,Research & Development,Life Sciences,Male,Manager,Divorced,1,24
23,Yes,Research & Development,Life Sciences,Male,Laboratory Technician,Married,1,0
24,No,Research & Development,Life Sciences,Male,Laboratory Technician,Divorced,1,1
52,No,Research & Development,Life Sciences,Female,Laboratory Technician,Married,8,5
50,No,Research & Development,Medical,Male,Research Director,Married,5,4
29,Yes,Research & Development,Life Sciences,Female,Laboratory Technician,Married,1,1
33,No,Research & Development,Medical,Male,Research Director,Married,0,13
33,Yes,Sales,Marketing,Female,Sales Executive,Single,5,3
47,No,Research & Development,Other,Female,Manager,Married,1,26
36,No,Research & Development,Other,Female,Manufacturing Director,Married,0,9
29,No,Research & Development,Life Sciences,Male,Research Scientist,Married,1,10
58,Yes,Research & Development,Life Sciences,Male,Research Director,Single,7,31
35,No,Research & Development,Life Sciences,Female,Research Scientist,Single,3,2
42,No,Research & Development,Life Sciences,Female,Manufacturing Director,Married,9,4
28,Yes,Research & Development,Medical,Male,Research Scientist,Single,6,2
36,No,Human Resources,Human Resources,Male,Human Resources,Married,4,5
32,No,Research & Development,Life Sciences,Female,Manufacturing Director,Married,1,14
40,No,Research & Development,Medical,Male,Laboratory Technician,Single,6,1
30,No,Research & Development,Medical,Female,Manufacturing Director,Single,5,0
45,No,Research & Development,Life Sciences,Female,Research Scientist,Single,1,1
42,No,Research & Development,Life Sciences,Male,Manufacturing Director,Married,1,9
38,No,Research & Development,Life Sciences,Male,Healthcare Representative,Divorced,2,4
34,No,Research & Development,Life Sciences,Female,Research Scientist,Single,1,5
49,Yes,Sales,Marketing,Female,Sales Executive,Married,1,9
55,Yes,Sales,Medical,Male,Sales Executive,Single,4,9
43,No,Research & Development,Life Sciences,Male,Research Director,Married,6,4
27,No,Research & Development,Technical Degree,Male,Research Director,Divorced,1,9
35,No,Research & Development,Other,Male,Manufacturing Director,Single,3,8
28,No,Sales,Marketing,Female,Sales Executive,Married,1,8
34,No,Human Resources,Human Resources,Male,Human Resources,Married,0,3
26,Yes,Research & Development,Medical,Female,Research Scientist,Married,1,8
27,No,Research & Development,Medical,Male,Research Scientist,Married,1,0
51,No,Sales,Marketing,Female,Manager,Married,2,20
44,No,Research & Development,Medical,Male,Healthcare Representative,Single,9,5
25,No,Research & Development,Medical,Male,Research Scientist,Single,7,4
33,No,Sales,Medical,Male,Sales Executive,Divorced,1,9
35,No,Research & Development,Medical,Female,Research Scientist,Single,1,6
36,No,Sales,Life Sciences,Male,Sales Executive,Married,1,18
32,No,Sales,Life Sciences,Male,Sales Executive,Divorced,2,5
30,No,Research & Development,Life Sciences,Male,Research Scientist,Divorced,9,5
53,No,Sales,Marketing,Female,Sales Executive,Married,7,5
45,No,Sales,Marketing,Male,Sales Executive,Divorced,4,5
32,No,Research & Development,Medical,Female,Research Scientist,Married,5,5
52,No,Research & Development,Medical,Female,Manufacturing Director,Married,3,9
37,No,Sales,Marketing,Male,Sales Executive,Divorced,4,1
28,No,Human Resources,Medical,Male,Human Resources,Divorced,1,5
22,No,Research & Development,Life Sciences,Male,Manufacturing Director,Married,6,2
44,No,Research & Development,Life Sciences,Male,Laboratory Technician,Married,2,3
42,No,Research & Development,Medical,Male,Research Scientist,Single,5,2
36,No,Human Resources,Life Sciences,Male,Human Resources,Married,0,5
25,No,Sales,Other,Male,Sales Executive,Married,1,5
35,No,Research & Development,Life Sciences,Female,Manufacturing Director,Married,1,17
35,Yes,Research & Development,Life Sciences,Female,Research Scientist,Divorced,1,10
32,No,Research & Development,Life Sciences,Male,Laboratory Technician,Divorced,0,3
25,No,Sales,Marketing,Male,Sales Executive,Married,1,5
49,No,Research & Development,Technical Degree,Female,Research Scientist,Married,2,4
24,No,Research & Development,Life Sciences,Male,Laboratory Technician,Married,0,5
32,No,Sales,Life Sciences,Male,Sales Executive,Married,1,10
38,No,Sales,Marketing,Male,Sales Representative,Married,0,2
42,No,Research & Development,Life Sciences,Female,Laboratory Technician,Married,2,5
31,No,Research & Development,Life Sciences,Male,Research Scientist,Married,3,6
29,Yes,Sales,Medical,Female,Sales Representative,Divorced,6,3
53,No,Sales,Marketing,Male,Sales Executive,Married,5,2
35,No,Research & Development,Technical Degree,Male,Manufacturing Director,Married,3,13
37,No,Sales,Medical,Female,Sales Representative,Married,5,5
53,No,Research & Development,Life Sciences,Female,Research Director,Single,6,12
43,No,Research & Development,Life Sciences,Female,Healthcare Representative,Married,4,5
47,No,Sales,Marketing,Female,Sales Executive,Married,0,7
37,No,Sales,Medical,Male,Sales Executive,Single,1,10
50,No,Research & Development,Life Sciences,Male,Manager,Divorced,1,31
39,No,Human Resources,Life Sciences,Female,Human Resources,Married,8,5
33,No,Human Resources,Human Resources,Male,Human Resources,Divorced,3,4
32,Yes,Research & Development,Life Sciences,Male,Laboratory Technician,Single,1,1
29,No,Research & Development,Medical,Female,Laboratory Technician,Divorced,6,4
44,No,Research & Development,Life Sciences,Male,Research Scientist,Married,1,8
28,No,Sales,Medical,Male,Sales Executive,Single,1,4
58,Yes,Research & Development,Life Sciences,Male,Laboratory Technician,Divorced,9,1
43,No,Research & Development,Life Sciences,Female,Manufacturing Director,Divorced,4,1
20,Yes,Sales,Medical,Female,Sales Representative,Single,1,2
21,Yes,Research & Development,Other,Female,Research Scientist,Single,1,1
36,No,Research & Development,Life Sciences,Male,Healthcare Representative,Married,0,16
47,No,Sales,Life Sciences,Female,Sales Representative,Single,1,3
22,Yes,Research & Development,Life Sciences,Female,Manufacturing Director,Married,0,3
41,Yes,Research & Development,Life Sciences,Female,Laboratory Technician,Divorced,4,7
28,No,Research & Development,Medical,Female,Research Scientist,Divorced,5,2
39,Yes,Research & Development,Medical,Male,Laboratory Technician,Married,7,2
27,No,Research & Development,Life Sciences,Female,Research Scientist,Single,1,1
34,No,Research & Development,Life Sciences,Male,Laboratory Technician,Divorced,1,1
42,No,Sales,Medical,Female,Sales Executive,Single,7,5
33,No,Research & Development,Other,Male,Research Scientist,Single,3,3
58,No,Research & Development,Technical Degree,Female,Healthcare Representative,Divorced,2,6
31,No,Sales,Life Sciences,Male,Sales Representative,Married,3,7
35,No,Research & Development,Life Sciences,Female,Healthcare Representative,Married,1,10
49,No,Research & Development,Other,Female,Laboratory Technician,Married,4,26
48,No,Research & Development,Medical,Male,Research Scientist,Married,4,0
31,No,Sales,Marketing,Female,Sales Executive,Married,1,9
36,No,Research & Development,Other,Male,Research Scientist,Single,2,6
38,No,Research & Development,Technical Degree,Female,Research Director,Married,1,15
32,No,Research & Development,Life Sciences,Female,Laboratory Technician,Married,6,3
25,Yes,Sales,Marketing,Male,Sales Representative,Married,1,1
40,No,Sales,Marketing,Male,Sales Executive,Divorced,2,1
26,No,Sales,Medical,Male,Sales Executive,Single,1,7
41,No,Research & Development,Medical,Male,Laboratory Technician,Single,2,18
36,No,Research & Development,Medical,Male,Laboratory Technician,Single,4,11
19,Yes,Sales,Other,Male,Sales Representative,Single,1,1
20,Yes,Research & Development,Technical Degree,Male,Laboratory Technician,Single,1,1
31,No,Research & Development,Medical,Female,Healthcare Representative,Married,0,9
40,No,Research & Development,Medical,Male,Research Scientist,Divorced,8,1
32,No,Research & Development,Medical,Female,Manufacturing Director,Married,1,8
36,Yes,Sales,Life Sciences,Male,Sales Executive,Married,1,16
33,No,Research & Development,Life Sciences,Female,Healthcare Representative,Single,0,5
37,Yes,Sales,Life Sciences,Male,Sales Executive,Married,5,14
45,No,Research & Development,Life Sciences,Male,Laboratory Technician,Married,1,9
29,No,Sales,Technical Degree,Female,Sales Representative,Married,1,3
35,No,Sales,Medical,Female,Sales Executive,Married,1,5
52,No,Research & Development,Life Sciences,Male,Manager,Married,2,9
58,Yes,Research & Development,Technical Degree,Male,Research Scientist,Single,4,1
53,No,Sales,Medical,Male,Manager,Divorced,6,17
30,No,Sales,Other,Male,Sales Executive,Divorced,5,8
38,No,Sales,Technical Degree,Female,Sales Executive,Single,1,5
35,No,Sales,Life Sciences,Male,Sales Executive,Divorced,6,10
39,No,Sales,Life Sciences,Male,Sales Executive,Single,0,8
40,Yes,Sales,Life Sciences,Female,Sales Executive,Single,4,1
47,No,Research & Development,Medical,Male,Manufacturing Director,Divorced,1,19
36,No,Sales,Technical Degree,Male,Sales Executive,Divorced,4,7
31,Yes,Research & Development,Medical,Male,Research Scientist,Single,0,3
33,No,Sales,Life Sciences,Male,Manager,Single,1,10
29,Yes,Research & Development,Life Sciences,Female,Research Scientist,Single,6,0
33,No,Research & Development,Life Sciences,Female,Research Scientist,Single,3,3
45,No,Research & Development,Medical,Female,Laboratory Technician,Divorced,3,5
50,No,Research & Development,Medical,Male,Research Director,Divorced,9,5
33,No,Research & Development,Other,Female,Healthcare Representative,Married,1,6
41,No,Research & Development,Medical,Male,Research Director,Divorced,2,18
27,No,Research & Development,Technical Degree,Female,Laboratory Technician,Married,9,2
45,No,Research & Development,Life Sciences,Male,Laboratory Technician,Married,1,9
47,No,Sales,Life Sciences,Female,Sales Executive,Single,1,9
30,Yes,Research & Development,Life Sciences,Female,Research Scientist,Married,4,5
50,No,Research & Development,Life Sciences,Male,Manufacturing Director,Married,3,12
38,No,Research & Development,Medical,Male,Research Scientist,Married,0,2
46,No,Research & Development,Medical,Male,Manufacturing Director,Divorced,6,8
24,No,Research & Development,Medical,Female,Manufacturing Director,Divorced,1,4
35,Yes,Research & Development,Other,Male,Laboratory Technician,Divorced,1,4
31,No,Research & Development,Life Sciences,Female,Manufacturing Director,Married,1,4
18,No,Research & Development,Life Sciences,Male,Research Scientist,Single,1,0
54,No,Research & Development,Technical Degree,Female,Manufacturing Director,Married,8,10
35,No,Research & Development,Medical,Female,Healthcare Representative,Divorced,1,16
30,No,Research & Development,Life Sciences,Female,Research Director,Married,0,8
20,Yes,Research & Development,Medical,Female,Research Scientist,Single,1,1
30,Yes,Research & Development,Medical,Female,Laboratory Technician,Single,0,3
26,No,Research & Development,Medical,Male,Manufacturing Director,Married,1,8
22,No,Research & Development,Life Sciences,Male,Laboratory Technician,Married,1,4
48,No,Research & Development,Life Sciences,Male,Healthcare Representative,Single,2,2
48,No,Research & Development,Life Sciences,Male,Healthcare Representative,Single,7,15
41,No,Research & Development,Medical,Female,Manufacturing Director,Single,6,2
39,No,Research & Development,Life Sciences,Female,Manufacturing Director,Married,1,21
27,No,Research & Development,Life Sciences,Female,Manufacturing Director,Married,0,3
35,No,Research & Development,Other,Male,Laboratory Technician,Divorced,1,3
42,No,Sales,Marketing,Male,Manager,Married,6,1
50,No,Research & Development,Life Sciences,Male,Laboratory Technician,Married,4,1
59,No,Research & Development,Life Sciences,Female,Manufacturing Director,Single,3,5
37,Yes,Research & Development,Medical,Female,Healthcare Representative,Married,5,1
55,No,Research & Development,Medical,Male,Healthcare Representative,Married,3,8
41,No,Research & Development,Life Sciences,Female,Research Director,Divorced,1,21
38,No,Sales,Life Sciences,Male,Sales Executive,Single,8,1
26,Yes,Sales,Medical,Male,Sales Executive,Single,8,2
52,Yes,Sales,Marketing,Female,Manager,Married,1,32
44,No,Sales,Medical,Female,Sales Executive,Married,3,12
50,No,Sales,Life Sciences,Female,Sales Executive,Married,0,18
36,Yes,Research & Development,Life Sciences,Female,Laboratory Technician,Single,1,17
39,No,Research & Development,Medical,Female,Manufacturing Director,Single,1,21
33,No,Sales,Life Sciences,Female,Sales Representative,Single,0,2
45,No,Sales,Life Sciences,Female,Manager,Married,3,9
32,No,Research & Development,Medical,Female,Laboratory Technician,Single,9,8
34,No,Sales,Marketing,Male,Sales Executive,Divorced,0,15
59,No,Sales,Technical Degree,Male,Manager,Married,3,6
45,No,Human Resources,Medical,Male,Human Resources,Single,1,6
53,No,Sales,Marketing,Female,Sales Executive,Married,2,15
36,Yes,Research & Development,Other,Male,Laboratory Technician,Divorced,7,1
26,Yes,Research & Development,Life Sciences,Male,Research Scientist,Married,6,3
34,No,Sales,Life Sciences,Female,Sales Representative,Married,1,1
28,No,Sales,Medical,Male,Sales Representative,Married,1,1
38,No,Research & Development,Other,Male,Research Scientist,Married,3,2
50,No,Research & Development,Medical,Male,Research Director,Married,2,8
37,No,Research & Development,Other,Female,Healthcare Representative,Single,3,4
40,No,Sales,Marketing,Male,Sales Executive,Married,1,7
26,No,Research & Development,Medical,Female,Research Scientist,Divorced,1,5
46,No,Research & Development,Medical,Male,Research Director,Divorced,9,2
54,No,Sales,Life Sciences,Female,Sales Executive,Married,6,9
56,No,Research & Development,Medical,Female,Research Scientist,Married,2,5
36,No,Research & Development,Medical,Female,Manufacturing Director,Single,0,14
55,No,Research & Development,Medical,Male,Manager,Single,7,9
43,No,Sales,Medical,Male,Sales Executive,Divorced,5,1
20,Yes,Sales,Marketing,Female,Sales Representative,Single,1,2
21,Yes,Research & Development,Life Sciences,Female,Laboratory Technician,Single,1,1
46,No,Research & Development,Life Sciences,Female,Research Scientist,Divorced,8,16
51,Yes,Research & Development,Life Sciences,Male,Research Scientist,Married,9,10
28,Yes,Research & Development,Technical Degree,Male,Healthcare Representative,Single,1,10
26,No,Research & Development,Medical,Male,Laboratory Technician,Married,1,5
30,No,Research & Development,Other,Male,Manufacturing Director,Married,0,6
41,No,Research & Development,Technical Degree,Female,Research Scientist,Married,1,10
38,No,Research & Development,Life Sciences,Female,Healthcare Representative,Married,0,19
40,No,Research & Development,Technical Degree,Male,Healthcare Representative,Married,4,11
27,No,Research & Development,Life Sciences,Male,Laboratory Technician,Married,1,3
55,No,Research & Development,Life Sciences,Male,Manufacturing Director,Married,3,3
28,No,Research & Development,Other,Female,Research Scientist,Single,3,8
44,Yes,Human Resources,Medical,Male,Human Resources,Married,9,20
33,No,Research & Development,Life Sciences,Male,Healthcare Representative,Divorced,4,3
35,Yes,Sales,Technical Degree,Male,Sales Executive,Single,0,8
33,Yes,Research & Development,Medical,Female,Research Scientist,Single,1,13
28,No,Research & Development,Life Sciences,Male,Laboratory Technician,Divorced,1,4
34,No,Research & Development,Life Sciences,Male,Healthcare Representative,Single,0,6
37,No,Sales,Life Sciences,Female,Sales Executive,Divorced,2,1
25,Yes,Research & Development,Technical Degree,Male,Laboratory Technician,Married,1,7
26,Yes,Research & Development,Medical,Male,Laboratory Technician,Divorced,1,1
33,Yes,Research & Development,Medical,Male,Research Scientist,Single,4,2
42,No,Research & Development,Medical,Male,Manager,Married,0,22
28,Yes,Research & Development,Medical,Male,Laboratory Technician,Divorced,1,1
50,Yes,Sales,Other,Male,Sales Executive,Single,3,0
33,No,Sales,Life Sciences,Female,Sales Executive,Married,0,3
34,No,Research & Development,Life Sciences,Male,Research Scientist,Married,3,0
48,No,Research & Development,Medical,Male,Manager,Single,2,5
45,No,Sales,Life Sciences,Female,Sales Executive,Married,1,15
52,No,Research & Development,Life Sciences,Male,Healthcare Representative,Single,7,8
38,No,Sales,Marketing,Male,Sales Executive,Divorced,0,8
29,No,Research & Development,Life Sciences,Female,Research Scientist,Divorced,4,7
28,No,Research & Development,Medical,Female,Manufacturing Director,Divorced,0,9
46,No,Sales,Marketing,Male,Manager,Married,3,12
38,No,Sales,Marketing,Male,Sales Executive,Single,7,1
43,No,Research & Development,Life Sciences,Female,Manufacturing Director,Married,8,8
39,Yes,Research & Development,Life Sciences,Male,Healthcare Representative,Divorced,7,18
40,No,Research & Development,Medical,Male,Research Director,Single,1,20
21,No,Research & Development,Technical Degree,Female,Research Scientist,Single,1,2
39,No,Research & Development,Life Sciences,Male,Laboratory Technician,Single,9,5
36,No,Research & Development,Life Sciences,Male,Manufacturing Director,Single,2,11
31,No,Sales,Life Sciences,Male,Sales Representative,Married,0,2
28,No,Research & Development,Life Sciences,Male,Research Scientist,Married,0,5
35,No,Sales,Marketing,Male,Sales Executive,Divorced,1,5
49,No,Sales,Technical Degree,Male,Sales Executive,Married,6,9
34,No,Research & Development,Life Sciences,Male,Manufacturing Director,Single,2,3
29,No,Research & Development,Life Sciences,Female,Research Scientist,Divorced,0,7
42,No,Research & Development,Medical,Male,Laboratory Technician,Single,4,1
29,No,Research & Development,Medical,Male,Manufacturing Director,Married,1,10
38,No,Human Resources,Human Resources,Male,Human Resources,Married,1,7
28,No,Research & Development,Life Sciences,Male,Research Scientist,Divorced,1,3
18,Yes,Research & Development,Medical,Male,Laboratory Technician,Single,1,0
33,Yes,Sales,Marketing,Female,Sales Executive,Single,0,5
41,No,Research & Development,Life Sciences,Male,Laboratory Technician,Married,3,1
31,Yes,Research & Development,Medical,Male,Laboratory Technician,Married,1,2
37,No,Research & Development,Medical,Female,Healthcare Representative,Divorced,7,6
27,No,Research & Development,Life Sciences,Male,Research Scientist,Married,1,4
34,No,Sales,Life Sciences,Female,Sales Executive,Married,1,6
35,No,Human Resources,Technical Degree,Male,Human Resources,Single,1,5
29,Yes,Sales,Life Sciences,Female,Sales Executive,Married,1,11
40,No,Research & Development,Medical,Female,Research Director,Single,9,18
42,Yes,Sales,Life Sciences,Male,Sales Executive,Single,0,21
